case_id,category,condition,question,reference_answer,answerable,answer,latency_seconds,lexical_coverage,automated_pass,retrieval_hit,retrieved_chunk_ids,retrieved_scores,retrieved_context,error_category,error
q01,definition,no_rag,What is the difference between a datum and data?,A datum is one observation or point of reference; data is the plural term for multiple observations.,True,"Datum refers to a reference point or foundation for surveying work; it’s essentially where measurements are taken from. Data represents the actual measured values – like distances, elevations, or angles.  

Essentially: **Datum = Reference Point, Data = Measurements**",0.747732,0.5,False,,[],[],,missing_expected_concepts,
q01,definition,rag,What is the difference between a datum and data?,A datum is one observation or point of reference; data is the plural term for multiple observations.,True,"The context states that “Data” refers to multiple observations, while “Datum” refers to one given value or point of reference.",0.568362,1.0,True,True,"[1, 4, 5]","[0.774686, 0.662457, 0.62859]","[Chunk 1]
ght from data to support decisions and innovation in areas such as business, health care, and entertainment. Its modern growth accelerated as digital data, computing capacity, and technology expanded. The rise of large, complex datasets created demand for more advanced analysis, making data science important across many industries. People have recorded data for a very long time; digital scale and modern tools are what changed rapidly.
Data, datum, and information
Datum is the singular form and refers to one given value, observation, or point of reference. Data is the plural term for multiple observations. Data is not limited to numbers. Text, symbols, descriptions, images, and other material can count as data when they can be analyzed to produce information or higher-level insight.
For example, a course-evaluation table can contain semester, instructor, class size, and rating. A single rating does not by itself decide whether a student should enroll.

[Chunk 4]
thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values. “Needed a Jacket?” is categorical because its values come from the finite labels Yes and No. It is nominal because those labels have no natural ranking.
Datasets, entities, and attributes
A dataset is a collection of observations or data entities organized so they can be analyzed and interpreted. In a tabular dataset, a row commonly represents a unique entity, item, entry, or instance. A column represents an attribute, feature, variable, or characteristic shared by the entities. An entity is therefore the thing or observation being described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating.

[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.",pass,
q02,definition,no_rag,How does the textbook define a dataset?,A dataset is a collection of observations or data entities organized for analysis and interpretation.,True,A textbook typically defines a dataset as an organized collection of data that can be used for analysis or modeling. It’s essentially a structured set of items with associated metadata.,0.506049,0.6667,False,,[],[],,missing_expected_concepts,
q02,definition,rag,How does the textbook define a dataset?,A dataset is a collection of observations or data entities organized for analysis and interpretation.,True,"A dataset is a collection of observations or data entities organized so they can be analyzed and interpreted. In a tabular dataset, a row commonly represents a unique entity, item, entry, or instance.",0.862105,1.0,True,True,"[4, 0, 1]","[0.756158, 0.675968, 0.67121]","[Chunk 4]
thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values. “Needed a Jacket?” is categorical because its values come from the finite labels Yes and No. It is nominal because those labels have no natural ranking.
Datasets, entities, and attributes
A dataset is a collection of observations or data entities organized so they can be analyzed and interpreted. In a tabular dataset, a row commonly represents a unique entity, item, entry, or instance. A column represents an attribute, feature, variable, or characteristic shared by the entities. An entity is therefore the thing or observation being described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating.

[Chunk 0]
OpenStax Principles of Data Science — Section 1.3 Study Text
Source: Ault, Shaun V.; Liao, Soohyun Nam; and Musolino, Larry. Principles of Data Science, section 1.3, “Data and Datasets.” OpenStax, 2025.
Section URL: https://openstax.org/books/principles-data-science/pages/1-3-data-and-datasets
License noted by the source: CC BY-NC-SA.
About this file
This is a concise, instructor-prepared paraphrase of the assigned section, not a verbatim copy. It is bundled so the baseline notebook can run without web access. Before submitting academic work, compare it with the assigned OpenStax section and replace it with an instructor-approved local export if required.
Data and the growth of data science
Data science extracts information and insight from data to support decisions and innovation in areas such as business, health care, and entertainment. Its modern growth accelerated as digital data, computing capacity, and technology expanded.

[Chunk 1]
ght from data to support decisions and innovation in areas such as business, health care, and entertainment. Its modern growth accelerated as digital data, computing capacity, and technology expanded. The rise of large, complex datasets created demand for more advanced analysis, making data science important across many industries. People have recorded data for a very long time; digital scale and modern tools are what changed rapidly.
Data, datum, and information
Datum is the singular form and refers to one given value, observation, or point of reference. Data is the plural term for multiple observations. Data is not limited to numbers. Text, symbols, descriptions, images, and other material can count as data when they can be analyzed to produce information or higher-level insight.
For example, a course-evaluation table can contain semester, instructor, class size, and rating. A single rating does not by itself decide whether a student should enroll.",pass,
q03,comparison,no_rag,What is the difference between structured and unstructured data?,Structured data follows a predefined consistent schema; unstructured data lacks a fixed schema and does not fit neatly into rows and columns.,True,Structured data (like databases) has a predefined format; unstructured data (like text or images) lacks that structure.,0.434818,0.6667,False,,[],[],,missing_expected_concepts,
q03,comparison,rag,What is the difference between structured and unstructured data?,Structured data follows a predefined consistent schema; unstructured data lacks a fixed schema and does not fit neatly into rows and columns.,True,"Structured data uses a predefined, consistent organization; its entities have the same attributes, fields, and relationships are clearly defined, and values can usually fit into rows and columns. Unstructured data lacks this fixed schema or predefined data model; it contains free-form text, images, video, and audio.",0.776471,1.0,True,True,"[5, 6, 7]","[0.808065, 0.805599, 0.684455]","[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.

[Chunk 6]
.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio. Examples discussed in the section include product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.
Structured data is often easier to analyze because its consistent fields and tabular organization let tools compare the same attributes across records. Organizations may process unstructured material into a structured dataset to make systematic analysis possible. For example, free-form searches could be reduced to a short keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats

[Chunk 7]
t keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats
The section introduces three common plain-text formats for structured datasets: comma-separated values (CSV), JavaScript Object Notation (JSON), and Extensible Markup Language (XML).
CSV is a simple, flat representation suited to tabular data. Each item is stored on one line, and commas separate its attribute values. Spreadsheet programs can show the file as a table. CSV is simple, but metadata is difficult to include and special characters can complicate parsing.
JSON represents information through keys and values, objects, and arrays. Keys can name attributes, while their paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server.",pass,
q04,definition,no_rag,What characteristics make a dataset structured?,Its entities share the same attributes and its values follow a consistent organization such as rows and columns.,True,"A dataset is structured when it follows a specific organization and arrangement of data elements.  It typically includes clear categories, relationships between variables, and consistent formats.",0.488178,0.0,False,,[],[],,missing_expected_concepts,
q04,definition,rag,What characteristics make a dataset structured?,Its entities share the same attributes and its values follow a consistent organization such as rows and columns.,True,"A course-evaluation dataset uses a predefined, consistent organization. Its entities have the same attributes, fields, and relationships are clearly defined, and values can usually fit into rows and columns.",0.638804,1.0,True,True,"[5, 6, 4]","[0.751706, 0.737469, 0.718251]","[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.

[Chunk 6]
.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio. Examples discussed in the section include product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.
Structured data is often easier to analyze because its consistent fields and tabular organization let tools compare the same attributes across records. Organizations may process unstructured material into a structured dataset to make systematic analysis possible. For example, free-form searches could be reduced to a short keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats

[Chunk 4]
thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values. “Needed a Jacket?” is categorical because its values come from the finite labels Yes and No. It is nominal because those labels have no natural ranking.
Datasets, entities, and attributes
A dataset is a collection of observations or data entities organized so they can be analyzed and interpreted. In a tabular dataset, a row commonly represents a unique entity, item, entry, or instance. A column represents an attribute, feature, variable, or characteristic shared by the entities. An entity is therefore the thing or observation being described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating.",pass,
q05,examples,no_rag,What are examples of unstructured datasets mentioned in the section?,"Examples include product reviews, social-media posts and images, short videos, and free-form web searches.",True,The provided text doesn't list specific examples of unstructured data. It simply mentions that unstructured data is a type of dataset.,0.447181,0.0,False,,[],[],,missing_expected_concepts,
q05,examples,rag,What are examples of unstructured datasets mentioned in the section?,"Examples include product reviews, social-media posts and images, short videos, and free-form web searches.",True,"Product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.",0.564588,1.0,True,True,"[6, 5, 7]","[0.780423, 0.732259, 0.686604]","[Chunk 6]
.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio. Examples discussed in the section include product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.
Structured data is often easier to analyze because its consistent fields and tabular organization let tools compare the same attributes across records. Organizations may process unstructured material into a structured dataset to make systematic analysis possible. For example, free-form searches could be reduced to a short keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats

[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.

[Chunk 7]
t keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats
The section introduces three common plain-text formats for structured datasets: comma-separated values (CSV), JavaScript Object Notation (JSON), and Extensible Markup Language (XML).
CSV is a simple, flat representation suited to tabular data. Each item is stored on one line, and commas separate its attribute values. Spreadsheet programs can show the file as a table. CSV is simple, but metadata is difficult to include and special characters can complicate parsing.
JSON represents information through keys and values, objects, and arrays. Keys can name attributes, while their paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server.",pass,
